Name,EVS ID,Histology,Radiation,Remarks,Primary Site,Alternate Names,Drugs
MOP-BAP,,,,,,,Mechlorethamine;Doxorubicin;Procarbazine;Prednisone;Bleomycin;Vincristine
MOPP-ABV,,,,,,,Mechlorethamine;Doxorubicin;Procarbazine;Prednisone;Bleomycin;Vincristine;Vinblastine
MOPP-ABVD,,,,,,,Dacarbazine;Mechlorethamine;Doxorubicin;Procarbazine;Prednisone;Bleomycin;Vincristine;Vinblastine
MOPPLDB,,,,,,MOPPHDB;MOPP-LO BLEO;BLEO-MOPP;B-MOPP,Mechlorethamine;Procarbazine;Prednisone;Bleomycin;Vincristine
MP,,,,,,MPL + PRED,Melphalan;Prednisone
MPFL,,,,,,,Fluorouracil;Cisplatin;Leucovorin;Methotrexate
MPT,,,,,,,Thalidomide;Melphalan;Prednisone
MPV,,,,,,,Procarbazine;Leucovorin;Methotrexate
MTX-CDDPAdr,,,,,,,Doxorubicin;Cisplatin;Leucovorin;Methotrexate
MTX-CF,,,,,,HDMTX/LV;HDMTX-CF,Leucovorin;Methotrexate
MV,,,,,,,Mitoxantrone;Etoposide
MVAC,,,,,,EVMAC;HD-VAC,Doxorubicin;Cisplatin;Methotrexate;Vinblastine
MVF,,,,,,,Mitoxantrone;Fluorouracil;Vincristine
MVP,,,,,,,Mitomycin;Cisplatin;Vinblastine
MVPP,,,,,,,Mechlorethamine;Procarbazine;Prednisone;Vinblastine
MVT,,,,,,,Mitoxantrone;Etoposide;Thiotepa
MVVPP,,,,,,,Mechlorethamine;Procarbazine;Prednisone;Vincristine;Vinblastine
Machover regimen,,,,,,Mayo regimen,Fluorouracil;L-Leucovorin
Magrath Protocol,,,,,,,Doxorubicin;Leucovorin;Methotrexate;Cytarabine;Prednisone;Cyclophosphamide;Vincristine
MeFA,,,,,,FAM-C;FAME,Fluorouracil;Doxorubicin;Semustine
Mito-FLAG,,,,,,,Mitoxantrone;Fludarabine;Meg-CSF;Cytarabine
NA,,,,,,,Doxorubicin;Vinorelbine
NAC,,,,,,,Lomustine;Mechlorethamine;Doxorubicin
NALIRIFOX,,,,,,,Fluorouracil;Leucovorin;Irinotecan;Oxaliplatin
NFL,,,,,,,Mitoxantrone;Fluorouracil;Leucovorin
NOVP,,,,,,,Mitoxantrone;Prednisone;Vincristine;Vinblastine
O-DAP,,,,,,,Dianhydrodulcitol;Doxorubicin;Cisplatin;Vincristine
OAP,,,,,,,Cytarabine;Prednisone;Vincristine
OAP-BLEO,,,,,,,Cytarabine;Prednisone;Bleomycin;Vincristine
OEPA,,,,,,AOPE,Etoposide;Doxorubicin;Prednisone;Vincristine
OPEN,,,,,,,Mitoxantrone;Etoposide;Prednisone;Vincristine
OPP,,,,,,,Procarbazine;Prednisone;Vincristine
OPPA,,,,,,,Doxorubicin;Procarbazine;Prednisone;Vincristine
Opdivo + cisplatin + gemcitabine,,,,"March 8, 2024 The FDA approved Opdivo (nivolumab) in combination with cisplatin and gemcitabine for first-line treatment of adult patients with unresectable or metastatic urothelial carcinoma.",Bladder,,Nivolumab;Cisplatin;Gemcitabine
P-MVAC,,,,,,,Doxorubicin;Cisplatin;Methotrexate;Vinblastine;Carboplatin
PAB-Esc-C,,,,,,,Doxorubicin;Cisplatin;Cyclophosphamide;Bleomycin
PATCO,,,,,,,Thioguanine;Cytarabine;Prednisone;Cyclophosphamide;Vincristine
PAVe,,,,,,,Melphalan;Procarbazine;Vinblastine
PBM,,,,,,,Cisplatin;Leucovorin;Methotrexate;Bleomycin
PCE,,,,,,,Cisplatin;Cyclophosphamide;Vindesine
PCR,,,,,,,Rituximab;Cyclophosphamide;Pentostatin
PEBA,,,,,,,Etoposide;Doxorubicin;Cisplatin;Bleomycin
PELF,,,,,,,Epirubicin;Fluorouracil;Cisplatin;Leucovorin;Filgrastim
PEP,,,,,,,Etoposide;Cyclophosphamide;Prednisolone
PET,,,,,,,Etoposide;Cisplatin;Paclitaxel
PF + E,,,,,,,Etoposide;Fluorouracil;Cisplatin;Leucovorin;Methotrexate
PFM,,,,,,,Fluorouracil;Cisplatin;Methotrexate
PFT,,,,,,,Fluorouracil;Tamoxifen;Melphalan
PHRT,,,,,,,Procarbazine;Cephalosporin;Hydroxyurea
PIA,,,,,,,Doxorubicin;Cisplatin;Ifosfamide
PIE,,,,,,,Etoposide;Cisplatin;Ifosfamide
PM,,,,,,,Cisplatin;Methotrexate
PMF,,,,,,,Fluorouracil;Melphalan;Methotrexate
PMFAC,,,,,,,Fluorouracil;Doxorubicin;Methotrexate;Prednisone;Cyclophosphamide
POC,,,,,,PCV,Lomustine;Procarbazine;Vincristine
POCA,,,,,,,Doxorubicin;Cytarabine;Prednisone;Vincristine
POCC,,,,,,,Lomustine;Procarbazine;Cyclophosphamide;Vincristine
POMB,,,,,,,Cisplatin;Methotrexate;Bleomycin;Vincristine
PRH-E,,,,,,,Etanidazole;Cisplatin
PRIME,,,,,,,Ifosfamide;Procarbazine;Methotrexate
PUVA,,,,,,,Psoralen;Abraxane
Pan-TPF,,,,,,,Fluorouracil;Docetaxel;Panitumumab;Cisplatin
Phesgo,,,,"6/29/2020 The FDA approved Phesgo—a combination of pertuzumab, trastuzumab and hyaluronidase–zzxf—for injection under the skin to treat adult patients with HER2-positive breast cancer that has spread to other parts of the body, and for treatment of adult patients with early HER2-positive breast cancer. Patients should be selected based on an FDA-approved companion diagnostic test.

Note: Pertuzumab and trastuzumab are immunotherapy while hyaluronidase-zzxf is an ancillary drug.  Code this regimen as BRM/Immunotherapy.",Breast,,Pertuzumab;Ado-trastuzumab emtansine
ProMACE,,,,,,CAVPM,Etoposide;Doxorubicin;Methotrexate;Prednisone;Cyclophosphamide
ProMACE-CytaBOM,,,,,,,Etoposide;Doxorubicin;Methotrexate;Cytarabine;Prednisone;Cyclophosphamide;Bleomycin;Vincristine
ProMACE-MOPP,,,,,,,Etoposide;Mechlorethamine;Doxorubicin;Procarbazine;Leucovorin;Methotrexate;Prednisone;Cyclophosphamide;Vincristine
R-CHOP,,,,,,CHOP + R,Doxorubicin;Rituximab;Prednisone;Cyclophosphamide;Vincristine
R-CVP,,,,,,,Rituximab;Cyclophosphamide;Prednisolone;Vincristine
R-DHAP,,,,,,,Dexamethasone;Rituximab;Cisplatin;Cytarabine
R-DHAX,,Lymphoma,,,,,Rituximab;Dexamethasone;Cytarabine;Oxaliplatin
R-FCM,,,,,,FCR,Fludarabine;Rituximab;Cyclophosphamide
R-GemOx,,,,,,GROC,Rituximab;Gemcitabine;Oxaliplatin
R-HiDAC,,Mantle cell lymphoma,,,,,Cytarabine;Rituximab
R-HyperCVAD,,,,,,Hyper-CVAD + R,Dexamethasone;Doxorubicin;Rituximab;Mesna;Cyclophosphamide;Vincristine
R-MPV,,,,,,,Rituximab;Procarbazine;Leucovorin;Methotrexate;Vincristine
RICE,,,,,,,Etoposide;Rituximab;Ifosfamide;Carboplatin
RIDD,,,,,,,Dacarbazine;Liposome encapsulated recombinant interleukin-2;Cisplatin
ROAP,,,,,,,Zorubicin;Cytarabine;Prednisone;Vincristine
RTOG Chemoradiation,,,,,,,Fluorouracil;Vidaza;Gemcitabine
RVD,,,,,,,Dexamethasone;Lenalidomide;Bortezomib
SAM,,,,,,,Streptozocin;Doxorubicin;Semustine
SCAB,,,,,,CABS,Lomustine;Streptozocin;Doxorubicin;Bleomycin
SIMAL-bone marrow transplant,,,,,,,Methotrexate;Cytarabine;Prednisone
SIMAL-pilot,,,,,,,Etoposide;Mesna;Leucovorin;Cytarabine;Prednisone;Hydrocortisone
SIMAL-second induction/maintenance,,,,,,,Etoposide;Teniposide;Daunorubicin Hydrochloride;Asparaginase;Leucovorin;Methotrexate;Cytarabine;Prednisone
SK,,,,,,Memorial Sloan-Kettering protocol,Dactinomycin;Doxorubicin;Cisplatin;Methotrexate;Cyclophosphamide;Bleomycin
SMF,,,,,,FMS,Mitomycin;Fluorouracil;Streptozocin
