T,N,M,Classification,DescY,DescR,DescM,PSA,GradeGroup,Stage
cT1a,N0,M0,ANY,ANY,ANY,ANY,<10,2,IIB
cT1a,N0,M0,ANY,ANY,ANY,ANY,10-<20,2,IIB
cT1b,N0,M0,ANY,ANY,ANY,ANY,<10,2,IIB
cT1b,N0,M0,ANY,ANY,ANY,ANY,10-<20,2,IIB
cT1c,N0,M0,ANY,ANY,ANY,ANY,<10,2,IIB
cT1c,N0,M0,ANY,ANY,ANY,ANY,10-<20,2,IIB
cT2a,N0,M0,ANY,ANY,ANY,ANY,<10,2,IIB
cT2a,N0,M0,ANY,ANY,ANY,ANY,10-<20,2,IIB
cT2b,N0,M0,ANY,ANY,ANY,ANY,<10,2,IIB
cT2b,N0,M0,ANY,ANY,ANY,ANY,10-<20,2,IIB
cT2c,N0,M0,ANY,ANY,ANY,ANY,<10,2,IIB
cT2c,N0,M0,ANY,ANY,ANY,ANY,10-<20,2,IIB
pT2,N0,M0,ANY,ANY,ANY,ANY,<10,2,IIB
pT2,N0,M0,ANY,ANY,ANY,ANY,10-<20,2,IIB
cT2b,N0,M0,ANY,ANY,ANY,ANY,<10,1,IIA
cT2b,N0,M0,ANY,ANY,ANY,ANY,10-<20,1,IIA
cT2c,N0,M0,ANY,ANY,ANY,ANY,<10,1,IIA
cT2c,N0,M0,ANY,ANY,ANY,ANY,10-<20,1,IIA
cT1a,N0,M0,ANY,ANY,ANY,ANY,10-<20,1,IIA
cT1b,N0,M0,ANY,ANY,ANY,ANY,10-<20,1,IIA
cT1c,N0,M0,ANY,ANY,ANY,ANY,10-<20,1,IIA
cT2a,N0,M0,ANY,ANY,ANY,ANY,10-<20,1,IIA
pT2,N0,M0,ANY,ANY,ANY,ANY,10-<20,1,IIA
cT1a,N0,M0,ANY,ANY,ANY,ANY,<10,1,I
cT1b,N0,M0,ANY,ANY,ANY,ANY,<10,1,I
cT1c,N0,M0,ANY,ANY,ANY,ANY,<10,1,I
cT2a,N0,M0,ANY,ANY,ANY,ANY,<10,1,I
pT2,N0,M0,ANY,ANY,ANY,ANY,<10,1,I
