T,N,M,Classification,DescY,DescR,DescM,Grade,HER2,ER,PR,Stage
T2,N0,M0,c,ANY,ANY,ANY,G3,Positive,Negative,Negative,IIA
T0,N1,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T0,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T0,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T0,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1,N1,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1mi,N1,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1mi,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1mi,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1mi,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1a,N1,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1a,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1a,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1a,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1b,N1,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1b,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1b,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1b,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1c,N1,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1c,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1c,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T1c,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T2,N0,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIA
T0,N1,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T0,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T0,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T0,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1,N1,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1mi,N1,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1mi,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1mi,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1mi,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1a,N1,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1a,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1a,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1a,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1b,N1,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1b,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1b,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1b,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1c,N1,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1c,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1c,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T1c,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T2,N0,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIB
T0,N1,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T0,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T0,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T0,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1,N1,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1mi,N1,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1mi,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1mi,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1mi,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1a,N1,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1a,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1a,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1a,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1b,N1,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1b,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1b,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1b,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1c,N1,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1c,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1c,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T1c,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T2,N0,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Positive,IIB
T0,N1,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T0,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T0,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T0,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1,N1,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1mi,N1,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1mi,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1mi,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1mi,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1a,N1,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1a,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1a,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1a,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1b,N1,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1b,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1b,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1b,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1c,N1,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1c,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1c,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T1c,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T2,N0,M0,c,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIB
T2,N1,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IB
T2,N1a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IB
T2,N1b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IB
T2,N1c,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IB
T3,N0,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IB
T2,N1,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIA
T2,N1a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIA
T2,N1b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIA
T2,N1c,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIA
T3,N0,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIA
T2,N1,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIA
T2,N1a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIA
T2,N1b,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIA
T2,N1c,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIA
T3,N0,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIA
T2,N1,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIB
T2,N1a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIB
T2,N1b,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIB
T2,N1c,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIB
T3,N0,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIB
T2,N1,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIA
T2,N1a,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIA
T2,N1b,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIA
T2,N1c,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIA
T3,N0,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIA
T2,N1,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIB
T2,N1a,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIB
T2,N1b,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIB
T2,N1c,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIB
T3,N0,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIB
T2,N1,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIB
T2,N1a,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIB
T2,N1b,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIB
T2,N1c,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIB
T3,N0,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIB
T2,N1,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIB
T2,N1a,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIB
T2,N1b,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIB
T2,N1c,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIB
T3,N0,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIB
T2,N1,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Positive,IB
T2,N1a,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Positive,IB
T2,N1b,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Positive,IB
T2,N1c,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Positive,IB
T3,N0,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Positive,IB
T2,N1,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Negative,IIA
T2,N1a,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Negative,IIA
T2,N1b,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Negative,IIA
T2,N1c,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Negative,IIA
T3,N0,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Negative,IIA
T2,N1,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Positive,IIA
T2,N1a,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Positive,IIA
T2,N1b,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Positive,IIA
T2,N1c,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Positive,IIA
T3,N0,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Positive,IIA
T2,N1,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Negative,IIB
T2,N1a,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Negative,IIB
T2,N1b,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Negative,IIB
T2,N1c,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Negative,IIB
T3,N0,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Negative,IIB
T2,N1,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Positive,IIA
T2,N1a,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Positive,IIA
T2,N1b,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Positive,IIA
T2,N1c,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Positive,IIA
T3,N0,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Positive,IIA
T2,N1,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Negative,IIB
T2,N1a,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Negative,IIB
T2,N1b,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Negative,IIB
T2,N1c,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Negative,IIB
T3,N0,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Negative,IIB
T2,N1,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Positive,IIB
T2,N1a,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Positive,IIB
T2,N1b,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Positive,IIB
T2,N1c,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Positive,IIB
T3,N0,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Positive,IIB
T2,N1,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Negative,IIIB
T2,N1a,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Negative,IIIB
T2,N1b,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Negative,IIIB
T2,N1c,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Negative,IIIB
T3,N0,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Negative,IIIB
T2,N1,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Positive,IB
T2,N1a,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Positive,IB
T2,N1b,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Positive,IB
T2,N1c,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Positive,IB
T3,N0,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Positive,IB
T2,N1,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Negative,IIB
T2,N1a,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Negative,IIB
T2,N1b,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Negative,IIB
T2,N1c,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Negative,IIB
T3,N0,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Negative,IIB
T2,N1,M0,c,ANY,ANY,ANY,G3,Positive,Negative,Positive,IIB
T2,N1a,M0,c,ANY,ANY,ANY,G3,Positive,Negative,Positive,IIB
T2,N1b,M0,c,ANY,ANY,ANY,G3,Positive,Negative,Positive,IIB
T2,N1c,M0,c,ANY,ANY,ANY,G3,Positive,Negative,Positive,IIB
T3,N0,M0,c,ANY,ANY,ANY,G3,Positive,Negative,Positive,IIB
T2,N1,M0,c,ANY,ANY,ANY,G3,Positive,Negative,Negative,IIB
T2,N1a,M0,c,ANY,ANY,ANY,G3,Positive,Negative,Negative,IIB
T2,N1b,M0,c,ANY,ANY,ANY,G3,Positive,Negative,Negative,IIB
T2,N1c,M0,c,ANY,ANY,ANY,G3,Positive,Negative,Negative,IIB
T3,N0,M0,c,ANY,ANY,ANY,G3,Positive,Negative,Negative,IIB
T2,N1,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIB
T2,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIB
T2,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIB
T2,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIB
T3,N0,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Positive,IIB
T2,N1,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIIA
T2,N1a,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIIA
T2,N1b,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIIA
T2,N1c,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIIA
T3,N0,M0,c,ANY,ANY,ANY,G3,Negative,Positive,Negative,IIIA
T0,N2,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T0,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T0,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T1,N2,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T1,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T1,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T1mi,N2,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T1mi,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T1mi,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T1a,N2,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T1a,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T1a,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T1b,N2,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T1b,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T1b,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T1c,N2,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T1c,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T1c,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T2,N2,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T2,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T2,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T3,N1,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T3,N1a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T3,N1b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T3,N1c,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T3,N2,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T3,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T3,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Positive,IIA
T0,N2,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T0,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T0,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T1,N2,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T1,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T1,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T1mi,N2,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T1mi,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T1mi,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T1a,N2,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T1a,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T1a,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T1b,N2,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T1b,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T1b,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T1c,N2,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T1c,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T1c,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T2,N2,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T2,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T2,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T3,N1,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T3,N1a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T3,N1b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T3,N1c,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T3,N2,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T3,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T3,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Positive,Negative,IIIA
T0,N2,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T0,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T0,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T1,N2,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T1,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T1,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T1mi,N2,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T1mi,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T1mi,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T1a,N2,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T1a,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T1a,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T1b,N2,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T1b,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T1b,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T1c,N2,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T1c,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T1c,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T2,N2,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T2,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T2,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T3,N1,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T3,N1a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T3,N1b,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T3,N1c,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T3,N2,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T3,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T3,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIA
T0,N2,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T0,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T0,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T1,N2,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T1,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T1,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T1mi,N2,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T1mi,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T1mi,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T1a,N2,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T1a,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T1a,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T1b,N2,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T1b,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T1b,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T1c,N2,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T1c,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T1c,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T2,N2,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T2,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T2,N2b,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T3,N1,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T3,N1a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T3,N1b,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T3,N1c,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T3,N2,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
T3,N2a,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIA
